Time: 2.004300e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 1.921400e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 9.356000e-04 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 1.382800e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 1.556200e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 9.384000e-04 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 1.091500e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 9.222000e-04 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 9.184000e-04 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 9.099000e-04 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 1.201900e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 1.312500e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 1.073500e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 1.220100e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 1.057600e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 1.146800e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 1.322500e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 1.252400e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 1.182200e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 1.440000e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 1.215100e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 1.349200e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 1.498300e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 2.129400e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 2.507900e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 2.993900e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 2.503500e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 3.374800e-03 seconds, Array size: 9, Processes: 1, Threads: 2
Time: 2.575900e-03 seconds, Array size: 10, Processes: 1, Threads: 2
Time: 3.287100e-03 seconds, Array size: 11, Processes: 1, Threads: 2
Time: 3.646200e-03 seconds, Array size: 12, Processes: 1, Threads: 2
Time: 4.406600e-03 seconds, Array size: 13, Processes: 1, Threads: 2
Time: 4.052300e-03 seconds, Array size: 14, Processes: 1, Threads: 2
Time: 4.486600e-03 seconds, Array size: 15, Processes: 1, Threads: 2
Time: 4.524800e-03 seconds, Array size: 16, Processes: 1, Threads: 2
Time: 2.200831e-01 seconds, Array size: 1000, Processes: 1, Threads: 2
